Tipster,Bet Count,Odds,Column1,Bet Earnings ($),Column2,Column3,Active Status
,,median,max,mean,median,max,
Tipster A,1331,5.5,51,1.491,-1.00,50.00,TRUE
Tipster A1,2446,9,201,0.444,-1.00,100.00,TRUE
Tipster B,503,9,130,0.556,-1.00,66.00,TRUE
Tipster B1,2497,4,34,0.075,-1.00,25.00,FALSE
Tipster C,1738,12,101,2.252,-1.00,100.00,FALSE
Tipster C1,501,8,101,0.543,-1.00,33.00,FALSE
Tipster D,741,15,151,1.032,-1.00,50.00,TRUE
Tipster D1,2119,17,126,2.136,-1.00,100.00,TRUE
Tipster E,3700,4.33,101,0.089,-1.00,14.00,TRUE
Tipster E1,609,6.5,67,1.063,-1.00,28.00,FALSE
Tipster F,146,7.5,67,1.622,-1.00,33.00,FALSE
Tipster G,290,19,101,3.674,-1.00,66.00,TRUE
Tipster H,833,11,105,0.204,-1.00,33.00,FALSE
Tipster I,453,9,101,0.948,-1.00,66.00,TRUE
Tipster J,1937,10,407,0.812,-1.00,66.00,TRUE
Tipster K,246,4.5,26,0.401,-1.00,16.00,TRUE
Tipster L,1425,7.5,101,0.251,-1.00,25.00,FALSE
Tipster M,957,8,67,1.373,-1.00,50.00,TRUE
Tipster N,415,7,67,1.430,-1.00,33.00,FALSE
Tipster O,1094,17,151,0.298,-1.00,43.00,TRUE
Tipster P,581,5.5,14.5,0.204,-1.00,10.50,TRUE
Tipster Q,1552,7.5,81,0.298,-1.00,33.00,FALSE
Tipster R,1901,4,51,0.510,-1.00,33.00,TRUE
Tipster S,383,8,50,0.822,-1.00,33.00,TRUE
Tipster T,1332,11,67,0.143,-1.00,66.00,TRUE
Tipster U,383,11,67,1.101,-1.00,25.00,TRUE
Tipster V,406,11,75,0.029,-1.00,25.00,TRUE
Tipster W,994,13,281,0.401,-1.00,100.00,FALSE
Tipster X,4383,9,34,0.375,-1.00,33.00,TRUE
Tipster Y,1469,7,41,0.534,-1.00,25.00,FALSE
Tipster Z,883,5,51,0.793,-1.00,33.00,FALSE
